doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher
10.1037/xhp0000469,oa repository (via OAI-PMH doi match),repository,,https://pure.mpg.de/pubman/item/item_2451647_8/component/file_2573805/Speed_Majid_2018.pdf,True,publishedVersion,2,https://doi.org/10.1037/xhp0000469,journal-article,True,False,False,False,0096-1523,"1939-1277,0096-1523",Journal of Experimental Psychology: Human Perception and Performance,green,2018-03-01,American Psychological Association (APA)
10.1017/s1366728917000116,open (via page says license),publisher,cc-by,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F37D9C9D9E3974F0728F5824F1338E39/S1366728917000116a.pdf/div-class-title-heritage-language-exposure-impacts-voice-onset-time-of-dutch-german-simultaneous-bilingual-preschoolers-div.pdf,True,publishedVersion,2,https://doi.org/10.1017/s1366728917000116,journal-article,True,False,False,False,1366-7289,"1366-7289,1469-1841",Bilingualism: Language and Cognition,hybrid,2017-06-22,Cambridge University Press (CUP)
10.1016/j.jpsychores.2019.03.031,oa repository (via OAI-PMH title and first author match),repository,other-oa,https://openarchive.usn.no/usn-xmlui/bitstream/11250/2735351/1/Linguistic%2band%2binteractional.pdf,True,publishedVersion,2,https://doi.org/10.1016/j.jpsychores.2019.03.031,journal-article,True,False,False,False,0022-3999,0022-3999,Journal of Psychosomatic Research,green,2019-06-01,Elsevier BV
10.1075/ijchl.18003.tao,,,,,False,,2,https://doi.org/10.1075/ijchl.18003.tao,journal-article,False,False,False,False,2213-8706,"2213-8706,2213-8714",International Journal of Chinese Linguistics,closed,2019-07-02,John Benjamins Publishing Company
10.1007/s10579-017-9389-4,oa repository (via OAI-PMH doi match),repository,cc-by,https://link.springer.com/content/pdf/10.1007%2Fs10579-017-9389-4.pdf,True,publishedVersion,2,https://doi.org/10.1007/s10579-017-9389-4,journal-article,True,False,False,False,1574-020X,"1574-020X,1574-0218",Language Resources and Evaluation,green,2017-04-21,Springer Science and Business Media LLC
10.1163/19552629-01203007,open (via page says license),publisher,cc-by-nc,https://brill.com/downloadpdf/journals/jlc/12/3/article-p784_784.pdf,True,publishedVersion,2,https://doi.org/10.1163/19552629-01203007,journal-article,True,False,False,True,1877-1491,"1877-1491,1955-2629",Journal of Language Contact,gold,2020-01-28,Brill
10.1080/0020174x.2023.2289137,open (via crossref license),publisher,cc-by-nc-nd,https://www.tandfonline.com/doi/pdf/10.1080/0020174X.2023.2289137?needAccess=true,True,publishedVersion,2,https://doi.org/10.1080/0020174x.2023.2289137,journal-article,True,False,False,False,0020-174X,"0020-174X,1502-3923",Inquiry,hybrid,2023-11-30,Informa UK Limited
10.1080/0163853x.2017.1381540,oa repository (via OAI-PMH doi match),repository,cc-by-nc-nd,https://repository.ubn.ru.nl//bitstream/handle/2066/178586/178586.pdf,True,publishedVersion,2,https://doi.org/10.1080/0163853x.2017.1381540,journal-article,True,False,False,False,0163-853X,"0163-853X,1532-6950",Discourse Processes,green,2017-11-07,Informa UK Limited
10.1016/j.cortex.2021.09.01,,,,,False,,1,https://doi.org/10.1016/j.cortex.2021.09.01,,False,False,False,False,,,,,,
10.1186/s12904-022-00969-6,oa journal (via doaj),publisher,cc-by,https://bmcpalliatcare.biomedcentral.com/track/pdf/10.1186/s12904-022-00969-6,True,publishedVersion,2,https://doi.org/10.1186/s12904-022-00969-6,journal-article,True,False,True,True,1472-684X,1472-684X,BMC Palliative Care,gold,2022-05-12,Springer Science and Business Media LLC
10.1016/j.pragma.2023.12.008,,,,,False,,2,https://doi.org/10.1016/j.pragma.2023.12.008,journal-article,False,False,False,False,0378-2166,0378-2166,Journal of Pragmatics,closed,2024-01-01,Elsevier BV
10.1515/9783110730081-016,,,,,False,,2,https://doi.org/10.1515/9783110730081-016,book-chapter,False,False,False,False,,,"Syllable, Stress, and Sign",closed,2023-03-06,De Gruyter
10.1075/ill.16.02din,oa repository (via OAI-PMH doi match),repository,,https://pure.mpg.de/pubman/item/item_3006532_4/component/file_3053674/Dingemanse_2019_Ideophone_comparative_concept_definition.pdf,True,publishedVersion,2,https://doi.org/10.1075/ill.16.02din,book-chapter,True,False,False,False,1873-5037,1873-5037,Iconicity in Language and Literature,green,2019-05-06,John Benjamins Publishing Company
10.1515/9783110524178-005,oa repository (via OAI-PMH title and first author match),repository,,https://pure.mpg.de/pubman/item/item_2256308_6/component/file_2256307/Ernestus_Smith_chapterRethinking_reduction_inpress.pdf,True,submittedVersion,2,https://doi.org/10.1515/9783110524178-005,book-chapter,True,False,False,False,,,Rethinking Reduction,green,2018-06-25,De Gruyter
10.1075/celcr.22.01nac,,,,,False,,2,https://doi.org/10.1075/celcr.22.01nac,book-chapter,False,False,False,False,1566-7774,1566-7774,Converging Evidence in Language and Communication Research,closed,2019-11-28,John Benjamins Publishing Company
10.1075/celcr.22.03nac,oa repository (via OAI-PMH doi match),repository,,https://scholarlypublications.universiteitleiden.nl/access/item%3A3308920/view,True,publishedVersion,2,https://doi.org/10.1075/celcr.22.03nac,book-chapter,True,False,False,False,1566-7774,1566-7774,Converging Evidence in Language and Communication Research,green,2019-11-28,John Benjamins Publishing Company
10.1075/celcr.22.04rei,,,,,False,,2,https://doi.org/10.1075/celcr.22.04rei,book-chapter,False,False,False,False,1566-7774,1566-7774,Converging Evidence in Language and Communication Research,closed,2019-11-28,John Benjamins Publishing Company
10.1146/annurev-anthro-102218-011243,open (via free pdf),publisher,,https://www.annualreviews.org/doi/pdf/10.1146/annurev-anthro-102218-011243,True,publishedVersion,2,https://doi.org/10.1146/annurev-anthro-102218-011243,journal-article,True,False,False,False,0084-6570,"0084-6570,1545-4290",Annual Review of Anthropology,bronze,2019-10-21,Annual Reviews
10.1007/978-3-319-78771-8_20,oa repository (via OAI-PMH doi match),repository,,https://repository.ubn.ru.nl/bitstream/handle/2066/196626/1/196626.pdf,True,publishedVersion,2,https://doi.org/10.1007/978-3-319-78771-8_20,book-chapter,True,False,False,False,2214-3807,"2214-3807,2214-3815",Indirect Reports and Pragmatics in the World Languages,green,2018-06-20,Springer International Publishing
